pid,item,score
5c4602713d08e80001369876,interpersonal,Neutral
5c4a061161db8c00015e4fb0,interpersonal,Strong agree
5c59e12429f64c0001cc6436,interpersonal,Strong disagree
5c5b66cb3312f1000112f694,interpersonal,Agree
5c5d36bc034e280001644c3b,interpersonal,Agree
5c5ff87f8c0552000109d7de,interpersonal,Neutral
5c72f9bf8711bf000139c5ee,interpersonal,Neutral
5cad1eef8ed53d00180d2532,interpersonal,Agree
5cb87813635b940017c2037a,interpersonal,Strong agree
5cc99062d918560016acf6ac,interpersonal,Agree
5ce15b0ea7b516001828c646,interpersonal,Disagree
5cedaba627d8ce00018469bb,interpersonal,Neutral
5d02a158c8a372001abf3b30,interpersonal,Neutral
5d038adefda4bb00013f8afb,interpersonal,Agree
5d0a5d36d41b4b00172c3cc9,interpersonal,Agree
5d20c6d5b1e50a001c19e622,interpersonal,Disagree
5d3bfbebfd9694001a2d0f99,interpersonal,Agree
5d6d729b679b200019c12498,interpersonal,Agree
5db7203e98ecdf000ae8d504,interpersonal,Agree
5dcfaad2dd9a740c2493fc28,interpersonal,Disagree
5e234e6d06121f5eceaba7f1,interpersonal,Agree
5e4feb8037713502e9ed364b,interpersonal,Agree
5e7d1c1e70dd753a081a29d9,interpersonal,Agree
5e7e1679f8a96f4be83e51e4,interpersonal,Disagree
5e9086ca917d9039e3c4cd25,interpersonal,Strong agree
5ecd61476e04500905a6eed2,interpersonal,Agree
5f04dc9fb117c31680c1a4f5,interpersonal,Neutral
5f05ef4bd552bc0009e5566c,interpersonal,Disagree
5f0c86cbe4af1361b7158f3e,interpersonal,Agree
5f11eb333c6e2c0df5b92270,interpersonal,Neutral
5f1beeacb55680420cfcae9e,interpersonal,Neutral
5f2f280854c3203084e218e5,interpersonal,Strong agree
5f35222b79aaa5065c8919bd,interpersonal,Agree
5f4fbebb8bb76c0c01881651,interpersonal,Neutral
5f514593ea1e87365b9cb05f,interpersonal,Agree
5f653cb18aad310a9ee7c32d,interpersonal,Agree
5f70576bb22a006197aea6de,interpersonal,Strong agree
5fb8dc3c8e8e964121c6aa4c,interpersonal,Neutral
5fd4d10b2f970406fe63ad96,interpersonal,Agree
5fef2fa9efea401f0b55a7c2,interpersonal,Strong disagree
